Date,cotton
01/31/2013,77.81
02/28/2013,82.56
03/31/2013,88.06
04/30/2013,85.37
05/31/2013,84.72
06/30/2013,85.62
07/31/2013,85.32
08/31/2013,87.28
09/30/2013,84.39
10/31/2013,82.61
11/30/2013,77.45
12/31/2013,82.04
01/31/2014,85.09
02/28/2014,87.1
03/31/2014,91.63
04/30/2014,91.64
05/31/2014,90
06/30/2014,83.4
07/31/2014,68.28
08/31/2014,64.94
09/30/2014,64.5
10/31/2014,63.73
11/30/2014,61.06
12/31/2014,60.68
01/31/2015,59.29
02/28/2015,63.12
03/31/2015,62.46
04/30/2015,64.98
05/31/2015,65.08
06/30/2015,64.87
07/31/2015,65.31
08/31/2015,64.16
09/30/2015,61.79
10/31/2015,62.56
11/30/2015,62.17
12/31/2015,63.75
01/31/2016,61.82
02/29/2016,59.28
03/31/2016,57.99
04/30/2016,61.57
05/31/2016,62.22
06/30/2016,64.13
07/31/2016,70.23
08/31/2016,70.12
09/30/2016,68.71
10/31/2016,69.16
11/30/2016,70.88
12/31/2016,70.92
01/31/2017,73.26
02/28/2017,75.29
03/31/2017,77.23
04/30/2017,77.18
05/31/2017,79.18
06/30/2017,72.5
07/31/2017,68.92
08/31/2017,69.78
09/30/2017,71.43
10/31/2017,68.52
11/30/2017,70.29
12/31/2017,75.91
01/31/2018,80.34
02/28/2018,77.89
03/31/2018,82.82
04/30/2018,83.32
05/31/2018,87.02
06/30/2018,89.37
07/31/2018,87.63
08/31/2018,84.54
09/30/2018,80.71
10/31/2018,77.73
11/30/2018,77.05
12/31/2018,76.64
01/31/2019,73.09
02/28/2019,71.68
03/31/2019,75.09
04/30/2019,77.28
05/31/2019,69.28
06/30/2019,65.27
07/31/2019,62.98
08/31/2019,58.89
09/30/2019,59.67
10/31/2019,63.19
11/30/2019,64.12
12/31/2019,66.8
01/31/2020,70.07
02/29/2020,67.15
03/31/2020,57.45
04/30/2020,53.64
05/31/2020,57.27
06/30/2020,60.79
07/31/2020,62.56
08/31/2020,63.47
09/30/2020,64.19
10/31/2020,68.8
11/30/2020,70.04
12/31/2020,74.3
01/31/2021,80.63
02/28/2021,86.84
03/31/2021,84.76
04/30/2021,83.22
05/31/2021,84.83
06/30/2021,85.36
07/31/2021,88.64
08/31/2021,93.68
09/30/2021,95.52
10/31/2021,109.43
11/30/2021,117.76
12/31/2021,109.14
01/31/2022,119.26
02/28/2022,124.07
03/31/2022,126.45
04/30/2022,140.45
05/31/2022,145.59
06/30/2022,132.63
07/31/2022,99.72
08/31/2022,113.04
09/30/2022,101.46
10/31/2022,83.11
11/30/2022,84.36
12/31/2022,83.45
01/31/2023,84.73
02/28/2023,83.9
03/31/2023,80.65
04/30/2023,81.2
05/31/2023,82.52
06/30/2023,81.96
07/31/2023,84.01
08/31/2023,86.36
09/30/2023,86.47
10/31/2023,84.85
11/30/2023,78.43
12/31/2023,80.05
01/31/2024,82.46
02/29/2024,92.48
03/31/2024,94.42
04/30/2024,82.78
05/31/2024,77.87
06/30/2024,71.81
07/31/2024,68.67
08/31/2024,68.14
09/30/2024,70.84
10/31/2024,71.67
11/30/2024,70.2
12/31/2024,69.71
01/31/2025,67.57
02/28/2025,67.27
